Date,SPY,QQQ,TLT,GLD,HYG,IWM
2015-06-03,177.2867889404297,102.01847839355469,88.71276092529297,113.63999938964844,51.600067138671875,109.58187103271484
2015-06-04,175.78929138183594,101.24223327636719,89.86768341064453,112.83999633789062,51.433807373046875,108.48397827148438
2015-06-05,175.48814392089844,101.0019760131836,88.77317810058594,112.23999786376953,51.278987884521484,109.26817321777344
2015-06-08,174.40896606445312,99.97625732421875,88.67498016357422,112.56999969482422,51.278987884521484,108.76278686523438
2015-06-09,174.38388061523438,99.80989837646484,87.97297668457031,112.81999969482422,51.192989349365234,108.43171691894531
2015-06-10,176.475341796875,101.17755889892578,87.20299530029297,113.77999877929688,51.26179122924805,109.78230285644531
2015-06-11,177.04417419433594,101.32540893554688,89.03738403320312,113.26000213623047,51.36499786376953,110.06111907958984
2015-06-12,175.6889190673828,100.49371337890625,89.03738403320312,113.2300033569336,51.175811767578125,109.72999572753906
2015-06-15,174.93601989746094,99.99473571777344,89.18081665039062,113.7300033569336,50.93502426147461,109.38145446777344
2015-06-16,175.88973999023438,100.53995513916016,89.88278198242188,113.31999969482422,51.2216911315918,110.15696716308594
2015-06-17,176.17413330078125,100.8171615600586,89.18830871582031,113.8499984741211,51.175811767578125,109.99140167236328
2015-06-18,178.00628662109375,102.28644561767578,88.7505111694336,115.31999969482422,51.36499786376953,111.46399688720703
2015-06-19,177.21603393554688,101.78076171875,89.89031982421875,115.12000274658203,51.39366912841797,111.41172790527344
2015-06-22,178.12393188476562,102.53097534179688,88.05603790283203,113.63999938964844,51.496864318847656,112.17852020263672
2015-06-23,178.2500457763672,102.61432647705078,87.52755737304688,112.88999938964844,51.46249008178711,112.41378021240234
2015-06-24,176.95541381835938,102.08638763427734,88.28246307373047,112.58999633789062,51.324851989746094,111.46399688720703
2015-06-25,176.41738891601562,101.88261413574219,87.97297668457031,112.44000244140625,51.17006301879883,111.40301513671875
2015-06-26,176.3837890625,101.20647430419922,86.9841079711914,112.55999755859375,51.02100372314453,111.09800720214844
2015-06-29,172.68492126464844,98.81688690185547,89.28646087646484,113.06999969482422,50.671268463134766,108.29225158691406
2015-06-30,173.04649353027344,99.1688461303711,88.66744995117188,112.37000274658203,50.91205596923828,108.79766845703125
2015-07-01,174.4335479736328,99.95612335205078,87.47063446044922,111.9800033569336,50.920711517333984,109.12004852294922
2015-07-02,174.27378845214844,99.9839096069336,87.75810241699219,111.76000213623047,51.1107292175293,108.31411743164062
2015-07-06,173.77784729003906,99.75236511230469,89.38465881347656,112.05999755859375,50.94373321533203,108.27912139892578
2015-07-07,174.87063598632812,100.00244903564453,90.22441101074219,110.76000213623047,50.98403549194336,108.4016342163086
2015-07-08,171.93682861328125,98.26113891601562,91.00366973876953,111.08999633789062,50.73064041137695,106.74777221679688
2015-07-09,172.247802734375,98.20558166503906,89.21068572998047,111.36000061035156,50.845855712890625,107.13284301757812
2015-07-10,174.41665649414062,99.70604705810547,87.79592895507812,111.48999786376953,51.13953399658203,108.62039947509766
2015-07-13,176.3417510986328,101.45658874511719,87.52357482910156,110.98999786376953,51.18558883666992,109.84547424316406
2015-07-14,177.10675048828125,102.12342834472656,87.81105041503906,110.73999786376953,51.133785247802734,110.4580078125
2015-07-15,177.04791259765625,102.23456573486328,88.74163055419922,110.16000366210938,51.133785247802734,109.87171936035156
2015-07-16,178.46861267089844,103.67945098876953,89.35443878173828,109.76000213623047,51.21440505981445,110.52800750732422
2015-07-17,178.61988830566406,105.20768737792969,89.8158950805664,108.6500015258789,51.07619094848633,110.04674530029297
2015-07-20,178.71237182617188,105.56893920898438,89.43760681152344,105.69999694824219,50.840084075927734,109.45170593261719
2015-07-21,178.00628662109375,105.50410461425781,89.92179870605469,105.37000274658203,50.74794006347656,108.9354248046875
2015-07-22,177.68675231933594,104.30928039550781,90.48163604736328,104.80000305175781,50.419647216796875,109.33794403076172
2015-07-23,176.68638610839844,103.92027282714844,91.60887145996094,104.33000183105469,50.39088821411133,108.13036346435547
2015-07-24,174.85382080078125,102.90145111083984,91.83580017089844,105.3499984741211,50.24692153930664,106.38899993896484
2015-07-27,173.83663940429688,102.04934692382812,92.32762145996094,104.86000061035156,50.03382873535156,105.50519561767578
2015-07-28,175.9718780517578,102.92922973632812,91.65426635742188,105.0199966430664,50.30451583862305,106.4065170288086
2015-07-29,177.18238830566406,103.3182601928711,91.31383514404297,105.16999816894531,50.59820556640625,106.70404815673828
2015-07-30,177.22442626953125,103.80912017822266,92.01739501953125,104.2699966430664,50.74794006347656,107.01028442382812
2015-07-31,176.95541381835938,103.68871307373047,92.69830322265625,104.93000030517578,50.661556243896484,107.59659576416016
2015-08-03,176.35855102539062,103.36453247070312,93.674072265625,104.0999984741211,50.56669998168945,107.06280517578125
2015-08-04,176.01390075683594,103.1700668334961,92.93101501464844,104.30999755859375,50.59560775756836,106.80902862548828
2015-08-05,176.59396362304688,103.96660614013672,92.2334976196289,103.93000030517578,50.52619171142578,107.05406188964844
2015-08-06,175.1480255126953,102.29940795898438,93.05235290527344,104.38999938964844,50.31791687011719,105.6102294921875
2015-08-07,174.8118438720703,102.16974639892578,94.27304077148438,104.6500015258789,50.16171646118164,104.90142822265625
2015-08-10,177.0142822265625,103.33676147460938,93.10542297363281,105.72000122070312,50.306358337402344,106.1089859008789
2015-08-11,175.4170684814453,102.01228332519531,94.58393859863281,106.26000213623047,50.074954986572266,105.19892883300781
2015-08-12,175.627197265625,102.36425018310547,94.06832885742188,107.75,50.00551986694336,104.99768829345703
2015-08-13,175.40866088867188,102.1975326538086,93.7650375366211,106.86000061035156,49.9418830871582,104.64763641357422
2015-08-14,176.04751586914062,102.35498046875,93.98494720458984,106.8499984741211,49.970821380615234,105.32144927978516
2015-08-17,177.0310821533203,103.20709991455078,94.40950012207031,107.12999725341797,49.970821380615234,106.43276977539062
2015-08-18,176.51828002929688,102.67916870117188,93.66647338867188,107.11000061035156,49.90718078613281,105.583984375
2015-08-19,175.1228790283203,102.0030288696289,94.59148406982422,108.55000305175781,49.86091995239258,104.49012756347656
2015-08-20,171.46604919433594,99.17810821533203,95.54682159423828,110.44000244140625,49.61793518066406,101.84747314453125
2015-08-21,166.3044891357422,94.84346771240234,95.83486938476562,111.12999725341797,49.438602447509766,100.65740966796875
2015-08-24,159.3019561767578,91.19419860839844,95.80458068847656,110.52999877929688,49.033668518066406,96.72843170166016
2015-08-25,157.42730712890625,90.85150146484375,94.26544189453125,109.16000366210938,49.13199996948242,95.98460388183594
2015-08-26,163.47152709960938,95.4269790649414,92.4458236694336,107.66999816894531,49.54273986816406,98.42603302001953
2015-08-27,167.5150146484375,97.84436798095703,92.49884796142578,107.7300033569336,49.9129753112793,100.18489074707031
2015-08-28,167.52340698242188,97.82588195800781,92.77181243896484,108.69999694824219,49.95927047729492,101.17367553710938
2015-08-31,166.16998291015625,96.61251831054688,92.05914306640625,108.81999969482422,49.889862060546875,100.80614471435547
2015-09-01,161.210205078125,93.59306335449219,92.7224349975586,109.19999694824219,49.72890090942383,97.91848754882812
2015-09-02,164.27012634277344,96.23275756835938,91.92466735839844,108.62000274658203,49.93223571777344,99.6773452758789
2015-09-03,164.3878173828125,95.76042175292969,92.3729019165039,107.83999633789062,50.001983642578125,99.51984405517578
2015-09-04,161.8995361328125,94.62117767333984,93.21634674072266,107.48999786376953,49.949684143066406,98.76728820800781
2015-09-08,165.9681854248047,97.28866577148438,91.8410873413086,107.5199966430664,50.22279739379883,101.02495574951172
2015-09-09,163.74891662597656,96.19573211669922,92.28178405761719,106.12999725341797,50.15885925292969,99.8611068725586
2015-09-10,164.6400146484375,97.24232482910156,91.65869903564453,106.37999725341797,50.280906677246094,100.316162109375
2015-09-11,165.38815307617188,97.7795181274414,92.23616790771484,106.16000366210938,50.26346969604492,100.78868865966797
2015-09-14,164.77455139160156,97.48312377929688,92.38056182861328,106.22000122070312,50.176307678222656,100.32491302490234
2015-09-15,166.83409118652344,98.63163757324219,90.6101303100586,105.9000015258789,50.1646728515625,101.4537124633789
2015-09-16,168.2799835205078,99.18734741210938,90.2682113647461,107.30999755859375,49.98454666137695,102.32877349853516
2015-09-17,167.90170288085938,99.22441864013672,91.36994171142578,108.41000366210938,50.025230407714844,102.67877960205078
2015-09-18,165.15792846679688,97.81316375732422,92.77567291259766,109.20999908447266,49.8857421875,101.26119232177734
2015-09-21,166.0113983154297,98.11953735351562,91.26361083984375,108.52999877929688,49.79277801513672,101.07745361328125
2015-09-22,163.8566131591797,96.65258026123047,92.53248596191406,107.79000091552734,49.43252944946289,99.54608154296875
2015-09-23,163.59466552734375,96.72686004638672,92.52490997314453,108.22000122070312,49.345359802246094,99.24858093261719
2015-09-24,163.003173828125,96.37403869628906,93.15557098388672,110.48999786376953,49.10130310058594,99.08234405517578
2015-09-25,162.96090698242188,95.5570068359375,92.35016632080078,109.80999755859375,48.85143280029297,97.77822875976562
2015-09-28,158.87103271484375,92.83661651611328,93.93061828613281,108.41999816894531,48.10184860229492,95.04025268554688
2015-09-29,158.96400451660156,92.35382843017578,94.19656372070312,107.9800033569336,48.096031188964844,94.36453247070312
2015-09-30,161.92996215820312,94.47999572753906,93.86978149414062,106.86000061035156,48.3982048034668,95.83004760742188
2015-10-01,162.35244750976562,94.90708923339844,94.2703628540039,106.7300033569336,48.08757781982422,95.66329956054688
2015-10-02,164.77767944335938,96.56904602050781,94.84139251708984,108.98999786376953,48.13428497314453,97.08497619628906
2015-10-05,167.7099151611328,97.95238494873047,93.55458068847656,108.7699966430664,48.71228790283203,99.40174102783203
2015-10-06,167.13528442382812,97.48819732666016,93.9581527709961,109.86000061035156,48.980934143066406,98.71725463867188
2015-10-07,168.50418090820312,98.07313537597656,93.64602661132812,109.69999694824219,49.483028411865234,100.4636001586914
2015-10-08,170.02523803710938,98.46307373046875,92.86170959472656,109.13999938964844,49.6873779296875,101.36749267578125
